name	param	value	pct_change	time_min	C_over_C0
kf_m75	kf	0.025	-0.75	1.00E-08	2.75E-14
kf_m75	kf	0.025	-0.75	1440	9.18E-09
kf_m75	kf	0.025	-0.75	2880	4.06E-08
kf_m75	kf	0.025	-0.75	4320	7.47E-08
kf_m75	kf	0.025	-0.75	5760	1.02E-07
kf_m75	kf	0.025	-0.75	7200	1.27E-07
kf_m75	kf	0.025	-0.75	8640	1.52E-07
kf_m75	kf	0.025	-0.75	10080	1.76E-07
kf_m75	kf	0.025	-0.75	11520	1.94E-07
kf_m75	kf	0.025	-0.75	12960	2.13E-07
kf_m75	kf	0.025	-0.75	14400	2.32E-07
kf_m75	kf	0.025	-0.75	15840	2.50E-07
kf_m75	kf	0.025	-0.75	17280	2.66E-07
kf_m75	kf	0.025	-0.75	18720	1.02E-06
kf_m75	kf	0.025	-0.75	20160	2.67E-05
kf_m75	kf	0.025	-0.75	21600	0.000100317
kf_m75	kf	0.025	-0.75	23040	0.000206679
kf_m75	kf	0.025	-0.75	24480	0.000359091
kf_m75	kf	0.025	-0.75	25920	0.000572
kf_m75	kf	0.025	-0.75	27360	0.000859565
kf_m75	kf	0.025	-0.75	28800	0.001236939
kf_m75	kf	0.025	-0.75	30240	0.001720034
kf_m75	kf	0.025	-0.75	31680	0.002325431
kf_m75	kf	0.025	-0.75	33120	0.003070015
kf_m75	kf	0.025	-0.75	34560	0.003970664
kf_m75	kf	0.025	-0.75	36000	0.00504411
kf_m75	kf	0.025	-0.75	37440	0.006306666
kf_m75	kf	0.025	-0.75	38880	0.007774072
kf_m75	kf	0.025	-0.75	40320	0.009461292
kf_m75	kf	0.025	-0.75	41760	0.01138243
kf_m75	kf	0.025	-0.75	43200	0.013550605
kf_m75	kf	0.025	-0.75	44640	0.015977721
kf_m75	kf	0.025	-0.75	46080	0.018674682
kf_m75	kf	0.025	-0.75	47520	0.021651167
kf_m75	kf	0.025	-0.75	48960	0.024915597
